duplicate_id;duplicate_reason
18322;duplicate_aboabo_mkt_flows                                                                          
18323;duplicate_aboabo_mkt_flows                                                                          
18388;duplicate_aboabo_mkt_flows                                                                          
19570;duplicate_aboabo_mkt_flows                                                                          
19571;duplicate_aboabo_mkt_flows                                                                          
25392;duplicate_aboabo_mkt_flows                                                                          
18660;duplicate_aboabo_mkt_flows                                                                          
22346;duplicate_aboabo_mkt_flows                                                                          
22347;duplicate_aboabo_mkt_flows                                                                          
29829;duplicate_aboabo_mkt_flows                                                                          
19396;duplicate_aboabo_mkt_flows                                                                          
19397;duplicate_aboabo_mkt_flows                                                                          
19227;duplicate_aboabo_mkt_flows                                                                          
19241;duplicate_aboabo_mkt_flows                                                                          
19665;duplicate_aboabo_mkt_flows                                                                          
19666;duplicate_aboabo_mkt_flows                                                                          
36389;duplicate_aboabo_mkt_flows                                                                          
19286;duplicate_aboabo_mkt_flows                                                                          
19287;duplicate_aboabo_mkt_flows                                                                          
36020;duplicate_aboabo_mkt_flows                                                                          
36050;duplicate_aboabo_mkt_flows                                                                          
19395;duplicate_aboabo_mkt_flows                                                                          
19341;duplicate_aboabo_mkt_flows                                                                          
19361;duplicate_aboabo_mkt_flows                                                                          
19360;duplicate_aboabo_mkt_flows                                                                          
33269;duplicate_aboabo_mkt_flows                                                                          
19387;duplicate_aboabo_mkt_flows                                                                          
19421;duplicate_aboabo_mkt_flows                                                                          
19580;duplicate_aboabo_mkt_flows                                                                          
36010;duplicate_aboabo_mkt_flows                                                                          
36009;duplicate_aboabo_mkt_flows                                                                          
19642;duplicate_aboabo_mkt_flows                                                                          
19641;duplicate_aboabo_mkt_flows                                                                          
19652;duplicate_aboabo_mkt_flows                                                                          
19712;duplicate_aboabo_mkt_flows                                                                          
19713;duplicate_aboabo_mkt_flows                                                                          
19714;duplicate_aboabo_mkt_flows                                                                          
19869;duplicate_aboabo_mkt_flows                                                                          
33329;duplicate_aboabo_mkt_flows                                                                          
20069;duplicate_aboabo_mkt_flows                                                                          
20133;duplicate_aboabo_mkt_flows                                                                          
20132;duplicate_aboabo_mkt_flows                                                                          
19238;duplicate_aboabo_mkt_flows                                                                          
21948;duplicate_aboabo_mkt_flows                                                                          
20339;duplicate_aboabo_mkt_flows                                                                          
20340;duplicate_aboabo_mkt_flows                                                                          
21952;duplicate_aboabo_mkt_flows                                                                          
21954;duplicate_aboabo_mkt_flows                                                                          
29318;duplicate_aboabo_mkt_flows                                                                          
30126;duplicate_aboabo_mkt_flows                                                                          
30125;duplicate_aboabo_mkt_flows                                                                          
30127;duplicate_aboabo_mkt_flows                                                                          
38948;duplicate_aboabo_mkt_flows                                                                          
24993;duplicate_aboabo_mkt_flows                                                                          
22364;duplicate_aboabo_mkt_flows                                                                          
22363;duplicate_aboabo_mkt_flows                                                                          
24515;duplicate_aboabo_mkt_flows                                                                          
24516;duplicate_aboabo_mkt_flows                                                                          
19381;duplicate_aboabo_mkt_flows                                                                          
19383;duplicate_aboabo_mkt_flows                                                                          
19382;duplicate_aboabo_mkt_flows                                                                          
21741;duplicate_aboabo_mkt_flows                                                                          
21740;duplicate_aboabo_mkt_flows                                                                          
21744;duplicate_aboabo_mkt_flows                                                                          
21743;duplicate_aboabo_mkt_flows                                                                          
22135;duplicate_aboabo_mkt_flows                                                                          
22437;duplicate_aboabo_mkt_flows                                                                          
24160;duplicate_aboabo_mkt_flows                                                                          
24161;duplicate_aboabo_mkt_flows                                                                          
24162;duplicate_aboabo_mkt_flows                                                                          
24164;duplicate_aboabo_mkt_flows                                                                          
24163;duplicate_aboabo_mkt_flows                                                                          
24676;duplicate_aboabo_mkt_flows                                                                          
24678;duplicate_aboabo_mkt_flows                                                                          
24677;duplicate_aboabo_mkt_flows                                                                          
37501;duplicate_aboabo_mkt_flows                                                                          
23194;duplicate_aboabo_mkt_flows                                                                          
23393;duplicate_aboabo_mkt_flows                                                                          
23423;duplicate_aboabo_mkt_flows                                                                          
23424;duplicate_aboabo_mkt_flows                                                                          
23425;duplicate_aboabo_mkt_flows                                                                          
27932;duplicate_aboabo_mkt_flows                                                                          
27930;duplicate_aboabo_mkt_flows                                                                          
36292;duplicate_aboabo_mkt_flows                                                                          
27873;duplicate_aboabo_mkt_flows                                                                          
27872;duplicate_aboabo_mkt_flows                                                                          
25362;duplicate_aboabo_mkt_flows                                                                          
25419;duplicate_aboabo_mkt_flows                                                                          
21742;duplicate_aboabo_mkt_flows                                                                          
18879;duplicate_aboabo_mkt_flows                                                                          
27868;duplicate_aboabo_mkt_flows                                                                          
27869;duplicate_aboabo_mkt_flows                                                                          
19343;duplicate_aboabo_mkt_flows                                                                          
21724;duplicate_aboabo_mkt_flows                                                                          
30331;duplicate_aboabo_mkt_flows                                                                          
30330;duplicate_aboabo_mkt_flows                                                                          
30333;duplicate_aboabo_mkt_flows                                                                          
30332;duplicate_aboabo_mkt_flows                                                                          
30334;duplicate_aboabo_mkt_flows                                                                          
29208;duplicate_aboabo_mkt_flows                                                                          
29209;duplicate_aboabo_mkt_flows                                                                          
29210;duplicate_aboabo_mkt_flows                                                                          
29207;duplicate_aboabo_mkt_flows                                                                          
30092;duplicate_aboabo_mkt_flows                                                                          
30089;duplicate_aboabo_mkt_flows                                                                          
30091;duplicate_aboabo_mkt_flows                                                                          
30139;duplicate_aboabo_mkt_flows                                                                          
30138;duplicate_aboabo_mkt_flows                                                                          
30141;duplicate_aboabo_mkt_flows                                                                          
30140;duplicate_aboabo_mkt_flows                                                                          
30166;duplicate_aboabo_mkt_flows                                                                          
32649;duplicate_aboabo_mkt_flows                                                                          
36251;duplicate_aboabo_mkt_flows                                                                          
36247;duplicate_aboabo_mkt_flows                                                                          
31325;duplicate_aboabo_mkt_flows                                                                          
31344;duplicate_aboabo_mkt_flows                                                                          
31345;duplicate_aboabo_mkt_flows                                                                          
31346;duplicate_aboabo_mkt_flows                                                                          
31326;duplicate_aboabo_mkt_flows                                                                          
33257;duplicate_aboabo_mkt_flows                                                                          
32682;duplicate_aboabo_mkt_flows                                                                          
38649;duplicate_aboabo_mkt_flows                                                                          
33259;duplicate_aboabo_mkt_flows                                                                          
33260;duplicate_aboabo_mkt_flows                                                                          
34752;duplicate_aboabo_mkt_flows                                                                          
34080;duplicate_aboabo_mkt_flows                                                                          
36083;duplicate_aboabo_mkt_flows                                                                          
36082;duplicate_aboabo_mkt_flows                                                                          
36499;duplicate_aboabo_mkt_flows                                                                          
36500;duplicate_aboabo_mkt_flows                                                                          
35759;duplicate_aboabo_mkt_flows                                                                          
35756;duplicate_aboabo_mkt_flows                                                                          
35763;duplicate_aboabo_mkt_flows                                                                          
36715;duplicate_aboabo_mkt_flows                                                                          
36714;duplicate_aboabo_mkt_flows                                                                          
38614;duplicate_aboabo_mkt_flows                                                                          
38613;duplicate_aboabo_mkt_flows                                                                          
38867;duplicate_aboabo_mkt_flows                                                                          
787;duplicate_aboabo_mkt_flows                                                                          
21931;duplicate_aboabo_mkt_flows                                                                          
21932;duplicate_aboabo_mkt_flows                                                                          
21871;duplicate_aboabo_mkt_flows                                                                          
19323;duplicate_aboabo_mkt_flows                                                                          
3861;duplicate_aboabo_mkt_flows                                                                          
17273;duplicate_aboabo_mkt_flows                                                                          
17272;duplicate_aboabo_mkt_flows                                                                          
19874;duplicate_aboabo_mkt_flows                                                                          
19873;duplicate_aboabo_mkt_flows                                                                          
18727;duplicate_aboabo_mkt_flows                                                                          
31289;duplicate_aboabo_mkt_flows                                                                          
16430;duplicate_aboabo_mkt_flows                                                                          
16753;duplicate_aboabo_mkt_flows                                                                          
16754;duplicate_aboabo_mkt_flows                                                                          
28382;duplicate_aboabo_mkt_flows                                                                          
19391;duplicate_aboabo_mkt_flows                                                                          
19392;duplicate_aboabo_mkt_flows                                                                          
17404;duplicate_aboabo_mkt_flows                                                                          
15099;duplicate_aboabo_mkt_flows                                                                          
15101;duplicate_aboabo_mkt_flows                                                                          
14870;duplicate_aboabo_mkt_flows                                                                          
10022;duplicate_aboabo_mkt_flows                                                                          
10023;duplicate_aboabo_mkt_flows                                                                          
29119;duplicate_aboabo_mkt_flows                                                                          
36341;duplicate_aboabo_mkt_flows                                                                          
36343;duplicate_aboabo_mkt_flows                                                                          
36906;duplicate_aboabo_mkt_flows                                                                          
37879;duplicate_aboabo_mkt_flows                                                                          
36718;duplicate_aboabo_mkt_flows                                                                          
36914;duplicate_aboabo_mkt_flows                                                                          
9934;duplicate_aboabo_mkt_flows                                                                          
23756;duplicate_aboabo_mkt_flows                                                                          
