id;label;type;spatial_category;distance_to_focal_city_km;fid_africapolis_near_settlement;distance_to_next_settlement_km;size_africapolis_near_settlement;name_africapolis_near_settlement;classification_rural_urban;spatial_category_revised;travel_time_h
863;Bagand?                                                                                             ;                                                  ;national                                          ;138.037875;4136;25.77553311;19562;Bogande                                           ;Rural                                             ;national                                          ;3.956183333
564;Loroni                                                                                              ;cities and towns outside Greater Ouagadougou      ;national                                          ;223.300415;4120;50.34056573;19645;Koro                                              ;Rural                                             ;national                                          ;5.735516667
315;Kiembara                                                                                            ;cities and towns outside Greater Ouagadougou      ;national                                          ;162.650863;3843;40.88276228;20927;Tougan                                            ;Rural                                             ;national                                          ;3.699958333
326;Tougan                                                                                              ;cities and towns outside Greater Ouagadougou      ;national                                          ;184.84029;3843;0.408065177;20927;Tougan                                            ;Urban                                             ;national                                          ;4.946344444
410;Boussoum                                                                                            ;cities and towns outside Greater Ouagadougou      ;national                                          ;177.315214;3843;15.40833041;20927;Tougan                                            ;Rural                                             ;national                                          ;4.700525
411;Kassan                                                                                              ;cities and towns outside Greater Ouagadougou      ;national                                          ;178.163567;3843;8.430862345;20927;Tougan                                            ;Rural                                             ;national                                          ;4.6639
412;Kouy                                                                                                ;cities and towns outside Greater Ouagadougou      ;national                                          ;199.528461;3843;16.74741383;20927;Tougan                                            ;Rural                                             ;national                                          ;5.499636111
413;Niankore                                                                                            ;cities and towns outside Greater Ouagadougou      ;national                                          ;183.133805;3843;20.75303463;20927;Tougan                                            ;Rural                                             ;national                                          ;4.525494444
728;Sissil?                                                                                             ;cities and towns outside Greater Ouagadougou      ;national                                          ;161.018368;3843;36.05801447;20927;Tougan                                            ;Rural                                             ;national                                          ;3.942252778
866;Dissi                                                                                               ;                                                  ;national                                          ;202.710828;3843;21.68893847;20927;Tougan                                            ;Rural                                             ;national                                          ;5.700544444
393;Yasso                                                                                               ;cities and towns outside Greater Ouagadougou      ;national                                          ;271.992422;3754;21.10897086;21365;Solenzo                                           ;Rural                                             ;national                                          ;5.817263889
398;Dira                                                                                                ;cities and towns outside Greater Ouagadougou      ;national                                          ;267.387156;3754;21.5950191;21365;Solenzo                                           ;Rural                                             ;national                                          ;5.603572222
399;Moussakongo                                                                                         ;cities and towns outside Greater Ouagadougou      ;national                                          ;282.810382;3754;11.50143103;21365;Solenzo                                           ;Rural                                             ;national                                          ;6.471005556
725;Solenzo                                                                                             ;cities and towns outside Greater Ouagadougou      ;national                                          ;279.414629;3754;0.304042313;21365;Solenzo                                           ;Urban                                             ;national                                          ;6.319961111
