id;label;type;spatial_category;distance_to_focal_city_km;fid_africapolis_near_settlement;distance_to_next_settlement_km;size_africapolis_near_settlement;name_africapolis_near_settlement;classification_rural_urban;spatial_category_revised;travel_time_h
543;Diaye-Coura                                                                                         ;Town outside greater Bamako                       ;national                                          ;353.33517;6541;36.44685415;11817;Kirane                                            ;Rural                                             ;national                                          ;6.972763889
407;Sitakily                                                                                            ;Town outside greater Bamako                       ;national                                          ;354.122511;6386;17.37962855;12135;Tabakoto                                          ;Rural                                             ;national                                          ;7.743797222
311;Matomo Marka                                                                                        ;Town outside greater Bamako                       ;national                                          ;354.295249;5409;44.19869192;14679;Macina                                            ;Rural                                             ;national                                          ;7.016097222
415;Somo (in San, San)                                                                                  ;Town outside greater Bamako                       ;national                                          ;355.264383;874;14.43724991;82135;San                                               ;Rural                                             ;national                                          ;5.680669444
568;Fal?a                                                                                               ;Town outside greater Bamako                       ;national                                          ;358.716405;5503;64.09795164;14399;Kenieba                                           ;Rural                                             ;national                                          ;8.007613889
280;Koumbia                                                                                             ;Town outside greater Bamako                       ;national                                          ;359.323709;7520;20.36017239;10107;Marena                                            ;Rural                                             ;national                                          ;6.925597222
996;Bozola (For checkpoint Moribabougou)                                                                ;Village outside greater Bamako                    ;national                                          ;359.377956;874;39.19693686;82135;San                                               ;Rural                                             ;national                                          ;7.075622222
137;Diora                                                                                               ;Town outside greater Bamako                       ;national                                          ;361.686272;7520;19.40545697;10107;Marena                                            ;Rural                                             ;national                                          ;6.840658333
312;Menamba1                                                                                            ;Town outside greater Bamako                       ;national                                          ;362.281227;4425;27.82866922;18294;Koury                                             ;Rural                                             ;national                                          ;6.711891667
525;Diafarab?                                                                                           ;Town outside greater Bamako                       ;national                                          ;362.532687;5693;36.61714966;13825;Tenenkou                                          ;Rural                                             ;national                                          ;6.599405556
476;Yasso                                                                                               ;Town outside greater Bamako                       ;national                                          ;364.653617;874;30.12274778;82135;San                                               ;Rural                                             ;national                                          ;6.259211111
184;Fion                                                                                                ;Town outside greater Bamako                       ;national                                          ;365.433613;874;23.56397312;82135;San                                               ;Rural                                             ;national                                          ;6.253530556
196;Gogui (in Gogui, Nioro)                                                                             ;Town outside greater Bamako                       ;national                                          ;365.714658;5214;47.63100052;15315;Trougoumbe                                        ;Rural                                             ;national                                          ;6.517155556
1040;Loulo                                                                                               ;Suburb outside greater Bamako                     ;national                                          ;369.159082;6386;21.83239828;12135;Tabakoto                                          ;Rural                                             ;national                                          ;7.323002778
171;Fanga                                                                                               ;Town outside greater Bamako                       ;national                                          ;369.701334;5151;35.52296443;15507;Toya                                              ;Rural                                             ;national                                          ;7.428741667
303;Mahou                                                                                               ;Town outside greater Bamako                       ;national                                          ;370.609315;5357;0.473436391;14824;Mahou                                             ;Urban                                             ;national                                          ;6.546147222
500;Mougna                                                                                              ;Town outside greater Bamako                       ;national                                          ;370.780982;2430;27.99645197;32211;Djenne                                            ;Rural                                             ;national                                          ;7.613430556
1057;Beledougou                                                                                          ;Suburb outside greater Bamako                     ;national                                          ;370.863243;398;52.87458784;176849;Kayes                                             ;Rural                                             ;national                                          ;7.310961111
656;Djidian K?ni?ba                                                                                     ;Town outside greater Bamako                       ;national                                          ;371.570563;6386;25.23131239;12135;Tabakoto                                          ;Rural                                             ;national                                          ;7.364786111
88;Boura                                                                                               ;Town outside greater Bamako                       ;national                                          ;376.206137;5357;32.7365011;14824;Mahou                                             ;Rural                                             ;national                                          ;6.951891667
16;Tominian                                                                                            ;Town outside greater Bamako                       ;national                                          ;376.396749;874;33.78642356;82135;San                                               ;Rural                                             ;national                                          ;6.000972222
434;Takaba                                                                                              ;Town outside greater Bamako                       ;national                                          ;376.78325;5151;28.16946434;15507;Toya                                              ;Rural                                             ;national                                          ;7.751855556
